Entity,Code,Year,Relative change in maternal mortality ratio since 1990,Continent
Abkhazia,OWID_ABK,2015,,Asia
Afghanistan,AFG,1990,0,
Afghanistan,AFG,2015,-70.44776119,Asia
Akrotiri and Dhekelia,OWID_AKD,2015,,Asia
Albania,ALB,1990,0,
Albania,ALB,2015,-59.15492958,Europe
Algeria,DZA,1990,0,
Algeria,DZA,2015,-35.18518519,Africa
American Samoa,ASM,2015,,Oceania
Andorra,AND,2015,,Europe
Angola,AGO,1990,0,
Angola,AGO,2015,-58.87931034,Africa
Anguilla,AIA,2015,,North America
Antarctica,ATA,2015,,Antarctica
Antigua and Barbuda,ATG,2015,,North America
Arab World,,1990,0,
Arab World,,2015,-46.02076125,
Argentina,ARG,1990,0,
Argentina,ARG,2015,-27.77777778,South America
Armenia,ARM,1990,0,
Armenia,ARM,2015,-56.89655172,Asia
Aruba,ABW,2015,,North America
Australia,AUS,1990,0,
Australia,AUS,2015,-25,Oceania
Austria,AUT,1990,0,
Austria,AUT,2015,-50,Europe
Austria-Hungary,OWID_AUH,2015,,Europe
Azerbaijan,AZE,1990,0,
Azerbaijan,AZE,2015,-60.9375,Asia
Baden,OWID_BAD,2015,,Europe
Bahamas,BHS,1990,0,
Bahamas,BHS,2015,73.91304348,North America
Bahrain,BHR,1990,0,
Bahrain,BHR,2015,-42.30769231,Asia
Bangladesh,BGD,1990,0,
Bangladesh,BGD,2015,-69.0685413,Asia
Barbados,BRB,1990,0,
Barbados,BRB,2015,-53.44827586,North America
Bavaria,OWID_BAV,2015,,Europe
Belarus,BLR,1990,0,
Belarus,BLR,2015,-87.87878788,Europe
Belgium,BEL,1990,0,
Belgium,BEL,2015,-22.22222222,Europe
Belize,BLZ,1990,0,
Belize,BLZ,2015,-48.14814815,North America
Benin,BEN,1990,0,
Benin,BEN,2015,-29.6875,Africa
Bermuda,BMU,2015,,North America
Bhutan,BTN,1990,0,
Bhutan,BTN,2015,-84.33862434,Asia
Bolivia,BOL,1990,0,
Bolivia,BOL,2015,-51.52941176,South America
Bonaire Sint Eustatius and Saba,BES,2015,,North America
Bosnia and Herzegovina,BIH,1990,0,
Bosnia and Herzegovina,BIH,2015,-60.71428571,Europe
Botswana,BWA,1990,0,
Botswana,BWA,2015,-46.91358025,Africa
Bouvet Island,BVT,2015,,Antarctica
Brazil,BRA,1990,0,
Brazil,BRA,2015,-57.69230769,South America
British Indian Ocean Territory,IOT,2015,,Asia
British Virgin Islands,VGB,2015,,North America
Brunei,BRN,1990,0,
Brunei,BRN,2015,-34.28571429,Asia
Bulgaria,BGR,1990,0,
Bulgaria,BGR,2015,-56,Europe
Burkina Faso,BFA,1990,0,
